ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,ID_ODS,DESC_ODS,ID_METAODS,DESC_METAODS,ID_SM1,DESC_SM1,ID_SM2,DESC_SM2,ID_SM3,DESC_SM3,ID_SM4,DESC_SM4,ID_SM5,DESC_SM5,ID_SM6,DESC_SM6,ID_TCONTRIBUCION,DESC_TCONTRIBUCION,colour
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,30,Normativa Ambiental e Instrumentos para el Desarrollo Sustentable,15,"Promover el uso sostenible de los ecosistemas terrestres, luchar contra la desertificacin, detener e invertir la degradacin de las tierras y frenar la prdida de la diversidad biolgica.",6,"Promover la participacin justa y equitativa en los beneficios que se deriven de la utilizacin de los recursos genticos y promover el acceso adecuado a esos recursos, como se ha convenido internacionalmente",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#56C02B
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,30,Normativa Ambiental e Instrumentos para el Desarrollo Sustentable,15,"Promover el uso sostenible de los ecosistemas terrestres, luchar contra la desertificacin, detener e invertir la degradacin de las tierras y frenar la prdida de la diversidad biolgica.",7,Adoptar medidas urgentes para poner fin a la caza furtiva y el trfico de especies protegidas de flora y fauna y abordar la demanda y la oferta ilegales de productos silvestres,2,Caza furtiva,2,Trfico de especies protegidas,2,Mercado ilegal de productos silvestres,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#56C02B
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,30,Normativa Ambiental e Instrumentos para el Desarrollo Sustentable,15,"Promover el uso sostenible de los ecosistemas terrestres, luchar contra la desertificacin, detener e invertir la degradacin de las tierras y frenar la prdida de la diversidad biolgica.",8,"Para 2020, adoptar medidas para prevenir la introduccin de especies exticas invasoras y reducir de forma significativa sus efectos en los ecosistemas terrestres y acuticos y controlar o erradicar las especies prioritarias",2,Prevencin de la introduccin de especies exticas invasoras y reducir sus efectos en los ecosistemas,2,Controlar o erradicar especies prioritarias,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#56C02B
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,30,Normativa Ambiental e Instrumentos para el Desarrollo Sustentable,17,Fortalecer los medios de ejecucin y revitalizar la Alianza Mundial para el Desarrollo Sostenible,7,"Promover el desarrollo de tecnologas ecolgicamente racionales y su transferencia, divulgacin y difusin a los pases en desarrollo en condiciones favorables, incluso en condiciones concesionarias y preferenciales, por mutuo acuerdo",2,Transferencia,2,Divulgacin,2,Difusin,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#19486A
11,Educacin Pblica,S,Sujetos a Reglas de Operacin,269,Programa de Cultura Fsica y Deporte,3,Garantizar una vida sana y promover el bienestar para todos en todas las edades,4,"Para 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante la prevencin y el tratamiento y promover la salud mental y el bienestar ",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#4C9F38
11,Educacin Pblica,S,Sujetos a Reglas de Operacin,270,Programa Nacional de Ingls,4,"Garantizar una educacin inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos.",10,"Para 2030, aumentar sustancialmente la oferta de maestros calificados, entre otras cosas mediante la cooperacin internacional para la formacin de docentes en los pases en desarrollo, especialmente los pases menos adelantados y los pequeos Estados insulares en desarrollo",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#C5192D
11,Educacin Pblica,U,Otros Subsidios,79,Expansin de la Educacin Media Superior y Superior,4,"Garantizar una educacin inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos.",3,"Para 2030, asegurar el acceso en condiciones de igualdad para todos los hombres y las mujeres a una formacin tcnica, profesional y superior de calidad, incluida la enseanza universitaria",2,Acceso a formacin tcnica,2,Acceso a formacin profesional (capacitacin para el trabajo),2,Acceso a formacin superior incluida enseanza universitaria,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#C5192D
12,Salud,P,"Planeacin, seguimiento y evaluacin de polticas pblicas",16,Prevencin y atencin de VIH/SIDA y otras ITS,3,Garantizar una vida sana y promover el bienestar para todos en todas las edades,3,"Para 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles.",2,SIDA,1,No aplica,1,No aplica,2,Hepatitis,2,Enfermedades transmitidas por el agua,2,Otras enfermedades transmisibles,1,1-Contribucin Directa,#4C9F38
12,Salud,S,Sujetos a Reglas de Operacin,201,Seguro Mdico Siglo XXI,3,Garantizar una vida sana y promover el bienestar para todos en todas las edades,2,"Para 2030, poner fin a las muertes evitables de recin nacidos y de nios menores de 5 aos, logrando que todos los pases intenten reducir la mortalidad neonatal al menos hasta 12 por cada 1.000 nacidos vivos, y la mortalidad de nios menores de 5 aos al menos hasta 25 por cada 1.000 nacidos vivos",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#4C9F38
12,Salud,U,Otros Subsidios,5,Seguro Popular,3,Garantizar una vida sana y promover el bienestar para todos en todas las edades,2,"Para 2030, poner fin a las muertes evitables de recin nacidos y de nios menores de 5 aos, logrando que todos los pases intenten reducir la mortalidad neonatal al menos hasta 12 por cada 1.000 nacidos vivos, y la mortalidad de nios menores de 5 aos al menos hasta 25 por cada 1.000 nacidos vivos",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#4C9F38
